titulo,artista,duracao_minutos,genero,ano_lancamento,visualizacoes_youtube,visualizacoes_formatadas
Rolling in the Deep,Adele,3.8,Pop,2010,2600000000,2.6B
Numb,Linkin Park,3.08,Nu Metal,2003,2500000000,2.5B
Creep,Radiohead,3.97,Rock Alternativo,1992,1100000000,1.1B
Call Out My Name,The Weeknd,3.47,R&B,2018,1000000000,1.0B
Here Without You,3 Doors Down,4.25,Rock,2003,974000000,974.0M
I Don't Want to Miss a Thing,Aerosmith,4.98,Rock,1998,695000000,695.0M
Beautiful Things,Benson Boone,3.7,Pop,2024,679000000,679.0M
Iris,Goo Goo Dolls,5.08,Rock Alternativo,1998,627000000,627.0M
Happier Than Ever,Billie Eilish,4.97,Pop,2021,421000000,421.0M
Use Somebody,Kings Of Leon,3.9,Rock Alternativo,2008,349000000,349.0M
Lose Yourself,Eminem,5.43,Hip-Hop,2002,318000000,318.0M
I'll Be There for You,Bon Jovi,5.47,Hard Rock,1988,313000000,313.0M
The Kill (Bury Me),Thirty Seconds To Mars,4.35,Rock Alternativo,2005,285000000,285.0M
Lose Control,Teddy Swims,3.32,Soul/Pop,2023,281000000,281.0M
Stop Crying Your Heart Out,Oasis,5.23,Britpop,2002,224000000,224.0M
Wrecked,Imagine Dragons,4.25,Pop Rock,2021,201000000,201.0M
With Arms Wide Open,Creed,4.23,Rock Alternativo,2000,196000000,196.0M
With or Without You,U2,4.93,Rock,1987,192000000,192.0M
THE LONELIEST,M̴neskin,4.63,Rock Alternativo,2022,115000000,115.0M
Nothing's Gonna Hurt You Baby,Cigarettes After Sex,4.45,Dream Pop,2012,42000000,42.0M
Dare You To Move,Switchfoot,3.28,Rock Alternativo,2003,39000000,39.0M
Save Me,Hanson,4.17,Pop Rock,2000,36000000,36.0M
The Feels,Labrinth,2.97,R&B,2022,11000000,11.0M
Breathe,Anna Nalick,4.3,Pop Rock,2005,9800000,9.8M
Brighter Than Sunshine,Aqualung,4.03,Indie Pop,2003,7000000,7.0M
